A)
Gaussian wavelet:
Number of neurons : 8
Lowest found cost: 0.0778493
Optimal p = [-1.476, 0.709101, -1.86171, -1.26858, -0.118404, 0.899121, 0.460178, 0.971936]
            [-0.159075, 1.62448, 0.118801, 0.530285, 0.439675, -1.72938, -0.46258, -1.85491]
            [-1.12411, 0.692006, -1.96921, 1.89747, 1.59834, -1.29359, 1.43661, 0.930652]

Wavelet:
Number of neurons : 8
Lowest found cost: 0.55057
Optimal p = [-1.47357, 0.699911, -1.86171, -1.90326, 0.0745917, 1.13138, 1.45325, 0.854154]
            [-0.166163, 1.74331, 0.118801, 0.608848, 0.892025, -1.95451, -1.05984, -1.60929]
            [-1.12414, 0.0166525, -1.96921, 1.68419, 0.791982, -0.834909, 1.73735, 1.42689]



-0.73974 -0.00792039 -0.0136523 -0.0109216
-0.737738 -0.0137513 -0.0195646 -0.0159365
-0.735736 -0.0196152 -0.0255056 -0.0209886
-0.733734 -0.0255115 -0.0314748 -0.0260776
-0.731732 -0.0314395 -0.0374714 -0.0312034
-0.72973 -0.0373987 -0.0434949 -0.0363658
-0.727728 -0.0433884 -0.0495446 -0.0415645
-0.725726 -0.049408 -0.0556199 -0.0467993
-0.723724 -0.0554569 -0.0617201 -0.0520699
-0.721722 -0.0615346 -0.0678446 -0.0573761
-0.71972 -0.0676402 -0.0739927 -0.0627176
-0.717718 -0.0737732 -0.0801638 -0.068094
-0.715716 -0.079933 -0.0863572 -0.0735051
-0.713714 -0.0861189 -0.0925722 -0.0789504
-0.711712 -0.0923301 -0.0988081 -0.0844297
-0.70971 -0.0985661 -0.105064 -0.0899425
-0.707708 -0.104826 -0.11134 -0.0954886
-0.705706 -0.111109 -0.117635 -0.101067
-0.703704 -0.117416 -0.123948 -0.106678
-0.701702 -0.123744 -0.130278 -0.112322
-0.6997 -0.130093 -0.136626 -0.117996
-0.697698 -0.136463 -0.142989 -0.123701
-0.695696 -0.142852 -0.149368 -0.129437
-0.693694 -0.149261 -0.155762 -0.135203
-0.691692 -0.155688 -0.162169 -0.140999
-0.68969 -0.162133 -0.16859 -0.146823
-0.687688 -0.168594 -0.175024 -0.152676
-0.685686 -0.175072 -0.181469 -0.158557
-0.683684 -0.181565 -0.187925 -0.164465
-0.681682 -0.188072 -0.194392 -0.170399
-0.67968 -0.194593 -0.200869 -0.17636
-0.677678 -0.201128 -0.207354 -0.182346
-0.675676 -0.207674 -0.213847 -0.188357
-0.673674 -0.214233 -0.220348 -0.194392
-0.671672 -0.220801 -0.226856 -0.20045
-0.66967 -0.22738 -0.233369 -0.206532
-0.667668 -0.233968 -0.239888 -0.212635
-0.665666 -0.240563 -0.246411 -0.21876
-0.663664 -0.247167 -0.252938 -0.224906
-0.661662 -0.253777 -0.259468 -0.231071
-0.65966 -0.260393 -0.265999 -0.237256
-0.657658 -0.267013 -0.272532 -0.243459
-0.655656 -0.273638 -0.279066 -0.24968
-0.653654 -0.280266 -0.285599 -0.255918
-0.651652 -0.286897 -0.292132 -0.262172
-0.64965 -0.293529 -0.298662 -0.268442
-0.647648 -0.300162 -0.305191 -0.274725
-0.645646 -0.306795 -0.311715 -0.281023
-0.643644 -0.313427 -0.318236 -0.287333
-0.641642 -0.320057 -0.324752 -0.293656
-0.63964 -0.326685 -0.331262 -0.299989
-0.637638 -0.333308 -0.337765 -0.306333
-0.635636 -0.339928 -0.344261 -0.312687
-0.633634 -0.346542 -0.350749 -0.319048
-0.631632 -0.35315 -0.357228 -0.325418
-0.62963 -0.359751 -0.363698 -0.331794
-0.627628 -0.366344 -0.370156 -0.338175
-0.625626 -0.372928 -0.376604 -0.344562
-0.623624 -0.379502 -0.383039 -0.350952
-0.621622 -0.386066 -0.389461 -0.357346
-0.61962 -0.392618 -0.39587 -0.363741
-0.617618 -0.399158 -0.402264 -0.370137
-0.615616 -0.405684 -0.408642 -0.376534
-0.613614 -0.412196 -0.415005 -0.382929
-0.611612 -0.418694 -0.42135 -0.389323
-0.60961 -0.425175 -0.427677 -0.395714
-0.607608 -0.431639 -0.433985 -0.4021
-0.605606 -0.438085 -0.440274 -0.408482
-0.603604 -0.444512 -0.446543 -0.414858
-0.601602 -0.45092 -0.45279 -0.421227
-0.5996 -0.457307 -0.459016 -0.427588
-0.597598 -0.463673 -0.465218 -0.433939
-0.595596 -0.470016 -0.471397 -0.440281
-0.593594 -0.476336 -0.477551 -0.446612
-0.591592 -0.482632 -0.48368 -0.45293
-0.58959 -0.488903 -0.489783 -0.459236
-0.587588 -0.495147 -0.495859 -0.465527
-0.585586 -0.501364 -0.501907 -0.471802
-0.583584 -0.507554 -0.507926 -0.478061
-0.581582 -0.513715 -0.513915 -0.484303
-0.57958 -0.519846 -0.519875 -0.490526
-0.577578 -0.525946 -0.525803 -0.49673
-0.575576 -0.532014 -0.531699 -0.502913
-0.573574 -0.538051 -0.537562 -0.509074
-0.571572 -0.544053 -0.543392 -0.515212
-0.56957 -0.550022 -0.549187 -0.521326
-0.567568 -0.555955 -0.554946 -0.527415
-0.565566 -0.561852 -0.56067 -0.533478
-0.563564 -0.567712 -0.566357 -0.539514
-0.561562 -0.573534 -0.572005 -0.545521
-0.55956 -0.579317 -0.577615 -0.551499
-0.557558 -0.58506 -0.583186 -0.557446
-0.555556 -0.590763 -0.588716 -0.563362
-0.553554 -0.596424 -0.594205 -0.569245
-0.551552 -0.602043 -0.599652 -0.575094
-0.54955 -0.607618 -0.605057 -0.580908
-0.547548 -0.613149 -0.610417 -0.586687
-0.545546 -0.618635 -0.615734 -0.592428
-0.543544 -0.624075 -0.621005 -0.598131
-0.541542 -0.629468 -0.62623 -0.603794
-0.53954 -0.634813 -0.631408 -0.609418
-0.537538 -0.640109 -0.636539 -0.615
-0.535536 -0.645356 -0.641621 -0.620539
-0.533534 -0.650553 -0.646654 -0.626034
-0.531532 -0.655698 -0.651636 -0.631485
