Linear spline:
Integral of linear spline of cos(x) from 0 to 2pi: -0.00046951 expected approx: 0
Integral of linear spline of cos(x) from 0 to 0.5: 0.469396 expected exactly: 0.442538 by explicit calcualtion
Integral of linear spline of cos(x) from 0 to 9: 0.403497



4.94, 0.237756
5.035, 0.309655
5.13, 0.383059
5.225, 0.46063
5.32, 0.542369
5.415, 0.628274
5.51, 0.718232
5.605, 0.799845
5.7, 0.864764
5.795, 0.912988
5.89, 0.944518
5.985, 0.959354
6.08, 0.963316
6.175, 0.966794
6.27, 0.969994
6.365, 0.972915
6.46, 0.975558
6.555, 0.975123
6.65, 0.959183
6.745, 0.926259
6.84, 0.876351
6.935, 0.809458
7.03, 0.726609
7.125, 0.642586
7.22, 0.562221
7.315, 0.485515
7.41, 0.412466
7.505, 0.343056
7.6, 0.269893
7.695, 0.186945
7.79, 0.0942123
7.885, -0.0083063
7.98, -0.12061
8.075, -0.235799
8.17, -0.339121
8.265, -0.430086
8.36, -0.508693
8.455, -0.574943
8.55, -0.630785
8.645, -0.686764
8.74, -0.744458
8.835, -0.803868
8.93, -0.864993
9.025, -0.927157
9.12, -0.976804
9.215, -1.00863
9.31, -1.02263
9.405, -1.01881



0, -0.244835
0.5, -0.244835
1, -1.10429
1.5, -0.773974
2, -1.17356
2.5, -0.366425
3, -0.38897
3.5, 0.603114
4, 0.528139
4.5, 1.24325
5, 0.734579
5.5, 0.965451
6, 0.0405511
6.5, 0.0251183
7, -0.91586
7.5, -0.713208
8, -1.25533
8.5, -0.570714
9, -0.665759
9.5, 0.321592



