15,0.1,-0.498756
15,0.2,-0.495098
15,0.3,-0.489229
15,0.4,-0.481456
15,0.5,-0.472136
15,0.6,-0.46164
15,0.7,-0.450317
15,0.8,-0.438476
15,0.9,-0.426373
15,1,-0.414214
15,1.1,-0.402154
15,1.2,-0.390312
15,1.3,-0.37877
15,1.4,-0.367584
15,1.5,-0.356789
15,1.6,-0.346405
15,1.7,-0.336439
15,1.8,-0.326891
15,1.9,-0.317753
15,2,-0.309017
15,2.1,-0.300667
15,2.2,-0.292685
15,2.3,-0.285062
15,2.4,-0.277777
15,2.5,-0.270812
15,2.6,-0.264144
15,2.7,-0.257776
15,2.8,-0.25168
15,2.9,-0.245843
15,3,-0.24025
15,3.1,-0.234839
15,3.2,-0.229705
15,3.3,-0.224776
15,3.4,-0.220042
15,3.5,-0.215491
15,3.6,-0.211115
15,3.7,-0.206905
15,3.8,-0.202462
15,3.9,-0.198602
15,4,-0.194877
15,4.1,-0.191282
15,4.2,-0.18781
15,4.3,-0.184456
15,4.4,-0.181214
15,4.5,-0.178079
15,4.6,-0.175047
15,4.7,-0.172112
15,4.8,-0.169271
15,4.9,-0.166519
15,5,-0.163852
